Positions,P-Value
4716,1.5609658075385443e-13
4717,4.545545518956236e-13
4718,1.5034009166362647e-14
4719,6.985259173583152e-15
4720,2.576991631545611e-11
4721,1.0024371524054501e-13
4722,3.5206249805968795e-14
4723,7.483184758426327e-12
4724,1.7295253951864794e-13
4725,6.968601299346102e-14
4726,2.2478445797957388e-12
4727,6.464579762456295e-12
4728,5.598672751344679e-12
4729,1.4504665496708917e-10
4730,1.2551924500873195e-10
4731,1.7435253986812215e-11
4732,2.677036258674223e-10
4733,4.737511007301819e-11
4734,8.04949737714209e-11
4735,1.5932488459233594e-09
4736,7.017621105843677e-11
4737,1.2105385249917653e-11
4738,3.710504069303836e-09
4739,2.551411116952753e-11
4740,1.1243915971374625e-11
4741,1.3910055525196896e-11
4742,1.2896410474487143e-11
4743,1.2896410474487048e-11
4744,2.2297890031546084e-11
4745,1.4238478914683551e-11
4746,3.442769144156912e-11
4747,2.2732847960612035e-12
4748,1.298692173061035e-12
4749,3.1435909887209167e-12
4750,2.1103074533974075e-12
4751,1.4967489240434297e-12
4752,1.0680551183085163e-11
4753,4.968085174643642e-12
4754,4.7767084162394486e-11
4755,3.044264368153149e-14
4756,9.584820700021867e-12
4757,3.6912341592308176e-11
4758,6.541728710768786e-11
4759,1.5860812276103374e-11
4760,1.9153564173515472e-11
4761,3.395603904368118e-12
4762,6.414433872508601e-11
4763,1.3154093836403824e-10
4764,2.3275217086480787e-10
4765,3.461497719885507e-09
4766,1.0387585604478668e-09
4767,6.703828086021637e-11
4768,7.868863498623638e-11
4769,2.35342447724594e-10
4770,5.133110293272077e-11
4771,2.8289317448464638e-11
4772,2.1255745242932472e-10
4773,9.489007008290455e-11
4774,8.097879740420062e-11
4775,4.447246076414477e-11
4776,9.057140051087487e-11
4777,3.966132177811054e-10
4778,1.2690465222849142e-10
4779,9.245772913793832e-11
4780,8.441497310951441e-10
4781,2.6526378261493093e-09
4782,7.512031546878749e-10
4783,2.449887862823602e-10
4784,1.0868659610678296e-17
4785,4.1378784842151495e-11
4786,3.4017693127009656e-11
4787,5.68015650248522e-11
4788,2.100288547102318e-11
4789,1.2815407008059596e-09
4790,9.378029457801391e-11
4791,1.132984515584847e-10
4792,2.8112890557337536e-09
4793,5.736206083677605e-10
4794,1.798922137878289e-21
4795,9.069087096780933e-11
4796,1.9264047475433683e-10
4797,7.863190559957194e-17
4798,1.5381509387686052e-16
4799,4.668972600832718e-10
4800,4.668972600832718e-10
4801,4.668972600832718e-10
4802,4.120267530668137e-10
4803,2.6446339660156473e-10
4804,8.531498741356811e-10
4805,6.567250168602193e-10
4806,2.1429581267333671e-10
4807,3.5180908488352527e-10
4808,3.2162812233749227e-10
4809,3.4037998963871457e-09
4810,3.780910637800882e-10
4811,2.043350822325094e-10
4812,7.065224015605661e-10
4813,4.861447165682939e-09
4814,4.496845006206124e-09
4815,3.5777703768615727e-09
4816,2.6332988214698515e-12
4817,2.1772136854464897e-10
4818,3.988618103744259e-10
4819,1.119277054337497e-08
4820,3.8889978353627397e-10
4821,8.312208999053671e-09
4822,3.509318699862465e-09
4823,1.3819101604485512e-10
4824,3.328171287809946e-10
4825,1.0895469146014644e-09
4826,7.761983964583126e-09
4827,7.761983964583126e-09
4828,2.082914039245148e-09
4829,5.782328575853551e-09
4830,2.2812450085628523e-09
4831,2.3509556638037036e-09
4832,2.6839061875618044e-09
4833,7.209788964069338e-11
4834,2.0659252154161012e-09
4835,8.636978233285157e-10
4836,8.941492969561094e-10
4837,2.1002568613139057e-09
4838,1.8865225880030353e-68
4839,5.827189718664006e-09
4840,2.882053593013839e-10
4841,1.17740546354361e-10
4842,8.359863353711093e-10
4843,6.778787026825952e-09
4844,1.494031990448688e-08
4845,1.963414031194763e-10
4846,3.764870488556942e-10
4847,6.97949998164247e-10
4848,3.764870488556942e-10
4849,7.962263604002532e-09
4850,1.2797014899886877e-09
4851,3.0939835138520583e-10
4852,1.0510987876914382e-09
4853,1.8412892303703528e-09
4854,1.8412892303703528e-09
4855,1.2797014899886877e-09
4856,1.0542329168521134e-08
4857,1.3065905837369506e-09
4858,3.483803907465009e-09
4859,9.881979275504297e-09
4860,4.214930954634685e-08
4861,9.172746073522432e-09
4862,7.446460541980652e-10
4863,3.2583856318819084e-09
4864,4.6555897267422917e-10
4865,2.4263293456566107e-10
4866,1.2621307825900744e-08
4867,8.417262613455356e-11
4868,3.96276001487395e-09
4869,3.1074242492529355e-10
4870,8.681207574635087e-10
4871,9.662387129577016e-09
4872,1.2304375854092399e-08
4873,1.7454795623306272e-09
4874,9.179198788860735e-10
4875,1.1048906259385628e-09
4876,1.1840989704692609e-08
4877,1.740363845053604e-10
4878,1.922361073985769e-09
4879,3.997901576939691e-10
4880,1.3150441571892638e-10
4881,1.5738238918370724e-09
4882,1.0043776421040499e-10
4883,1.4934253660586065e-09
4884,3.441843211901957e-10
4885,4.039688888357509e-10
4886,7.209346191880457e-10
4887,1.5463162168931882e-12
4888,1.632165878823094e-10
4889,2.39161433311395e-11
4890,1.743787450822876e-16
4891,2.914921803834616e-16
4892,4.949600346586853e-10
4893,6.892289495865478e-17
4894,1.9180165325998805e-10
4895,6.493575408093171e-09
4896,7.682329207471228e-10
4897,2.2243113761880683e-16
4898,3.830015109930883e-09
4899,3.4954014935797825e-09
4900,6.811161706043861e-101
4901,7.393508976043595e-09
4902,5.817542324768048e-09
4903,3.28758704391452e-11
4904,3.488410225376132e-11
4905,2.10496820797403e-09
4906,7.872459958795912e-09
4907,4.417273101582343e-09
4908,3.959418374544524e-09
4909,4.891974102895512e-11
4910,1.5835054069483041e-09
4911,5.968208847521386e-10
4912,1.9095194050757581e-10
4913,1.838810489839954e-10
4914,3.389329766373584e-11
4915,3.2229226641301394e-11
4916,3.882915563524363e-09
4917,4.265536259162881e-10
4918,2.264868534910284e-09
4919,2.355827558759065e-11
4920,2.4772913161236792e-11
4921,1.2852505042927702e-12
4922,6.353407695481439e-13
4923,4.149871371630432e-12
4924,6.020297054833539e-13
4925,6.374268622172539e-10
4926,4.071741894797282e-11
4927,1.028098496120387e-18
4928,2.157246773453953e-12
4929,1.811972243969447e-12
4930,6.495230763993311e-12
4931,2.9838047933891733e-11
4932,8.294714407508505e-13
4933,2.299832895485719e-12
4934,3.5114018420344773e-13
4935,2.845525222569676e-13
4936,3.130842882599417e-14
4937,2.0662602143792534e-13
4938,2.4871026260733324e-11
4939,1.2745841819434252e-13
4940,1.1813161352851392e-11
4941,2.289023341220973e-13
4942,4.072904302576333e-12
4943,5.198966020353119e-13
4944,4.4035338572047106e-14
4945,6.851222115186602e-14
4946,2.562093432189858e-13
4947,1.176768713565937e-21
4948,1.6072380239369235e-21
4949,8.284595108978495e-23
4950,2.7992604255675633e-11
4951,5.419781772946279e-10
4952,2.7914429476895407e-10
4953,1.298467514722585e-11
4954,1.2541751541705504e-11
4955,6.957439939366389e-11
4956,1.0028522168990697e-09
4957,6.858646803737046e-10
4958,4.027446487427772e-09
4959,2.1349315953632257e-16
4960,1.32185867821263e-12
4961,8.79315141003976e-10
4962,5.390895094724993e-09
4963,2.1711191365443626e-09
4964,1.0269869900980966e-21
4965,2.048207301693974e-10
4966,5.122405700502818e-09
4967,5.789490781904136e-09
4968,2.5985928796561965e-08
4969,4.215817148723987e-09
4970,1.3761510971617133e-09
4971,1.5342142656948947e-09
4972,2.9515655158431625e-09
4973,3.840900352122939e-09
4974,7.28460494605802e-07
4975,1.213312750817048e-19
4976,4.828588407834451e-08
4977,5.828585662897486e-08
4978,5.818340572294168e-08
4979,5.342390415575487e-08
4980,2.560973578937535e-09
4981,1.777788159943013e-07
4982,4.0760362908216337e-07
4983,4.302631835700881e-08
4984,1.6450538419139468e-07
4985,3.462825642701844e-09
4986,3.073400051585632e-09
4987,7.43204215198527e-09
4988,4.227468745167272e-09
4989,4.4561747384319223e-10
4990,1.8348911154253682e-08
4991,1.388196791242991e-07
4992,1.477796900774634e-09
4993,2.2929396202037174e-08
4994,2.925154505423071e-09
4995,1.668346396047959e-09
4996,1.3565648314105938e-64
4997,1.3565648314106712e-64
4998,3.8920158999256015e-64
4999,2.8642967487241755e-64
5000,1.0794411695398146e-62
5001,5.939205269481748e-63
5002,9.08411892950798e-60
5003,9.461440174412458e-61
5004,3.7983436308861744e-61
5005,1.002249680381477e-58
5006,3.0905084330202893e-59
5007,5.582381651872128e-58
5008,2.9889397489880535e-51
5009,1.6081317260625493e-56
5010,2.070323811533094e-57
5011,2.0391241750411481e-50
5012,4.199892967630859e-52
5013,5.748985033526597e-54
5014,4.323395802338031e-54
5015,8.768417141247935e-54
5016,1.6466894550705418e-54
5017,2.518377515731419e-52
5018,2.0547127240607508e-62
5019,9.185590893346567e-79
5020,1.3656014935394121e-83
5021,1.740938172520422e-81
5022,1.1387650277703841e-79
5023,4.939677676765045e-109
5024,3.355503175801121e-82
5025,6.950665128995302e-83
5026,1.5952387040634314e-84
5027,9.485451971762627e-83
5028,5.892202869799146e-82
5029,7.584376769615679e-88
5030,9.382819160949e-85
5031,1.4931481934274891e-83
5032,6.6157696277482405e-84
5033,7.193548220485813e-84
5034,3.8453133051703842e-81
5035,2.857325202456124e-79
5036,1.3358699222960834e-80
5037,2.658301194762523e-80
5038,2.8342161143205453e-80
5039,6.791510498413635e-82
5040,1.511645782043358e-82
5041,1.0796119371959888e-94
5042,5.048098501992381e-82
5043,1.2494867772317441e-74
5044,2.346658989293934e-75
5045,3.2362380622698063e-79
5046,7.123490805768405e-77
5047,5.088969225457351e-75
5048,9.080108304572904e-80
5049,5.958158817667598e-80
5050,2.2826882496391734e-104
5051,9.988164247636797e-83
5052,1.3731132023543054e-78
5053,1.0331611456297718e-73
5054,9.675062881048983e-80
5055,1.073809179668239e-76
5056,1.224990817825077e-78
5057,5.930120460444056e-79
5058,3.066962044023388e-81
5059,8.477669802148714e-81
5060,1.7690056431661066e-78
5061,1.088526884914857e-79
5062,1.976982345924595e-76
5063,1.0008053594229142e-82
5064,3.9746207596364816e-75
5065,1.1099457806245826e-73
5066,4.517020721960167e-80
5067,1.7754291895234167e-79
5068,8.092196971981196e-83
5069,1.5503652897076994e-79
5070,2.2984736068523695e-81
5071,1.3939710758160195e-83
5072,3.3816648780308746e-82
5073,5.062928471399542e-80
5074,8.963824725622605e-80
5075,2.8142055145450424e-80
5076,1.3890154644539264e-80
5077,2.2488175877837206e-91
5078,1.6018466990626596e-85
5079,7.508671271625901e-83
5080,2.376226547276715e-79
5081,1.0668730888628995e-81
5082,3.5922393278638815e-78
5083,2.974682641611283e-78
5084,7.698163237454512e-80
5085,5.58752948370315e-77
5086,6.491899894660818e-82
5087,4.2847360629136325e-82
5088,2.3614355099931606e-82
5089,3.1335420224705304e-81
5090,1.1545208377853593e-81
5091,2.572231545719e-87
5092,2.8730985445238273e-86
5093,2.841489899805306e-82
5094,5.682385333221428e-78
5095,4.2260210355814564e-82
5096,8.060390793153818e-85
5097,9.905457621729498e-82
5098,1.3014305828500514e-80
5099,3.3734265109138556e-81
5100,0.0
5101,5.174096005855556e-86
5102,1.712083978767559e-88
5103,5.14435835721863e-85
5104,9.399123382911112e-84
5105,6.224753735286056e-84
5106,7.81910672855629e-81
5107,8.287481693736334e-85
5108,9.068492679847444e-84
5109,1.5715335530473452e-86
5110,2.442968603348423e-84
5111,8.919917548037974e-88
5112,1.7451761439202984e-84
5113,2.5943340002872366e-84
5114,8.180239976372002e-84
5115,3.79282850857069e-82
5116,3.779907919322419e-85
5117,6.120170549634393e-89
5118,4.77922131747709e-87
5119,1.7708756453254088e-86
5120,4.066428491253847e-91
5121,1.7900362665920913e-90
5122,5.338334526537208e-89
5123,1.964105113826096e-89
5124,1.2533163763136735e-91
5125,1.8271124997063533e-91
5126,7.217543181349227e-105
5127,5.475259973887867e-90
5128,1.1570656920042268e-91
5129,1.1042190421993688e-89
5130,1.7490522003166117e-92
5131,2.8377750072564675e-95
5132,1.994662837143831e-90
5133,8.895221777260864e-90
5134,4.392837406235023e-92
5135,2.76520446891036e-88
5136,2.286003154197922e-87
5137,8.878523158023158e-90
5138,3.841959357018091e-92
5139,1.1248517011137387e-96
5140,1.7120287863543686e-95
5141,3.454148510738142e-94
5142,1.7874489187886182e-91
5143,4.483449024658092e-87
5144,1.7151704687836325e-89
5145,1.520953626959978e-90
5146,3.640509223359442e-93
5147,2.2173367482147404e-86
5148,1.0289784496102403e-88
5149,9.931503343880399e-85
5150,1.5293995653206666e-84
5151,1.5222388931351272e-87
5152,1.2394827532514417e-85
5153,9.08935856192339e-85
5154,4.7676934794756475e-86
5155,1.7406342374723978e-81
5156,1.7758870538832755e-84
5157,4.8496778883773616e-92
5158,4.167334669012203e-89
5159,6.717874368673457e-93
5160,4.280762327946189e-90
5161,8.018339222117236e-87
5162,1.5850967503824834e-91
5163,7.77314897049194e-88
5164,4.630390293979439e-118
5165,7.632840029597044e-90
5166,3.305657114833089e-93
5167,1.4271006128422164e-91
5168,3.7291721961701623e-96
5169,8.940494873212249e-101
5170,1.8435871171165536e-96
5171,1.928832513605415e-98
5172,5.1631314873370586e-101
5173,3.0348181063818964e-92
5174,8.849343990554779e-97
5175,1.0194754511425904e-93
5176,1.6897981750129805e-93
5177,1.4665562628793934e-97
5178,2.796085832628743e-94
5179,1.9715339990312386e-95
5180,9.574392314849012e-94
5181,2.9088166680165197e-95
5182,3.797640784556031e-90
5183,6.164959382680222e-94
5184,0.0
5185,6.532921531960938e-97
5186,1.1617162117475399e-94
5187,1.3710566202866624e-97
5188,1.5545281328184995e-99
5189,8.6967234083486885e-106
5190,4.169489848500713e-110
5191,3.3919996516475094e-95
5192,5.468389076806602e-95
5193,5.421362272343805e-96
5194,9.042715968351242e-103
5195,2.8383376124388273e-89
5196,9.314143326939473e-88
5197,3.0421247047462536e-92
5198,8.912869718715437e-91
5199,9.204904693750287e-90
5200,4.711750836351233e-92
5201,1.1875004832770844e-93
5202,2.9513998310831726e-89
5203,3.9380308584309426e-90
5204,9.252546965828249e-92
5205,1.216308448764697e-92
5206,2.0719992309863838e-85
5207,3.0233621561537207e-90
5208,8.038975604284372e-89
5209,1.7165849638713995e-87
5210,9.770246144069248e-92
5211,2.898718650144556e-90
5212,1.346616134448699e-88
5213,6.840405716231084e-101
5214,3.4611939414781185e-86
5215,1.1964180473578941e-88
5216,6.29688365414003e-88
5217,1.3092841573813092e-89
5218,1.1112037518016885e-86
5219,1.0816227208889859e-85
5220,7.853628541764214e-88
5221,8.306812561394885e-86
5222,1.7113700222549799e-84
5223,1.5865881934456117e-85
5224,2.3208697797575346e-85
5225,1.0750548228817798e-90
5226,2.563404238652132e-86
5227,5.78330225657096e-82
5228,2.3185703917614596e-85
5229,1.1060336206184056e-88
5230,0.0
5231,6.64705843132504e-82
5232,5.1144533350820085e-86
5233,3.1656524921366236e-82
5234,6.436914678706357e-77
5235,6.5334723192216705e-78
5236,2.5855441732712362e-83
5237,3.096889806961939e-84
5238,4.998839532507409e-81
5239,2.3469919061888065e-179
5240,3.696541258385598e-101
5241,1.8437259704454078e-82
5242,3.0519450791843146e-82
5243,8.936658396630184e-82
5244,3.8168279973210485e-83
5245,7.963451598440518e-87
5246,6.917648797513382e-81
5247,2.4658626397325723e-82
5248,8.340270896670787e-84
5249,1.140222786031077e-81
5250,1.6788568278025403e-95
5251,1.0734817845686993e-78
5252,7.255102968571944e-82
5253,1.1637030791561834e-78
5254,2.2779173544183925e-79
5255,5.249766539973816e-70
5256,1.3210652263015665e-77
5257,4.875260065414239e-74
5258,4.533731933737459e-47
5259,8.394024638647275e-44
5260,9.247167671988569e-48
5261,3.2412434445692117e-54
5262,8.431871709713663e-55
5263,1.8052628608853304e-53
5264,9.491008613396352e-57
5265,1.3004373715988373e-58
5266,4.872322983176257e-58
5267,6.231398711376468e-54
5268,9.598278130319521e-58
5269,6.2965767071458745e-59
5270,5.681815198760284e-59
5271,5.06774292979507e-57
5272,9.821415388354123e-59
5273,3.551533829054495e-56
5274,3.580074174313863e-70
5275,4.8981794628217595e-55
5276,2.350722283813142e-56
5277,6.3842284990682176e-55
5278,2.987849574330795e-57
5279,7.914473907359975e-59
5280,2.1763579214017524e-58
5281,3.7487280072278026e-57
5282,4.1729496889145666e-57
5283,3.7661810508500346e-59
5284,3.68427036202154e-63
5285,9.859957598973138e-59
5286,9.346652537380306e-59
5287,3.1155115495506383e-67
5288,8.578003322008043e-10
5289,8.578003322008043e-10
5290,2.828196121186715e-10
5291,2.1708785506745747e-17
5292,7.922405632178416e-20
5293,1.2629112797394338e-09
5294,7.312907036796564e-11
5295,1.1604830459584335e-10
5296,6.254407212305001e-09
5297,2.810920535722295e-09
5298,1.4787476114002238e-09
5299,3.386793645638846e-08
5300,6.134781631797553e-08
5301,6.207811295253232e-13
5302,5.065689231621983e-08
5303,3.857425569327897e-08
5304,1.0780626997762197e-16
5305,1.5846166138246218e-16
5306,3.472994451716694e-17
5307,2.579165516518438e-17
5308,2.4973531510828575e-16
5309,1.0471159958961758e-15
5310,2.2925823638467825e-28
5311,4.501790993981927e-15
5312,7.153609379210379e-15
5313,2.2630504414768094e-15
5314,4.759355556719963e-14
5315,6.544592753305036e-16
5316,7.420882085568925e-14
5317,1.637411100727254e-14
5318,2.3849841541159986e-14
5319,3.536002220029709e-15
5320,6.055195688200935e-16
5321,6.055195688200935e-16
5322,1.2840394765189488e-17
5323,3.1191779479353776e-17
5324,1.9121654307780884e-18
5325,1.9121654307780884e-18
5326,1.4796355314786325e-19
5327,4.5262876078443834e-18
5328,6.119779486392212e-14
5329,6.119779486392168e-14
5330,1.447375807341904e-13
5331,2.8042666238331767e-12
5332,1.92224085554811e-12
5333,8.210291159458193e-13
5334,3.406984854905736e-14
5335,5.1196637904342637e-14
5336,5.97495037516103e-14
5337,9.667325772142542e-18
5338,1.8022066342809735e-16
5339,1.4125987586451106e-18
5340,2.0343640221786742e-17
5341,2.088273648337548e-18
5342,7.006652317386808e-19
5343,3.2082324320879436e-17
5344,7.343772645537854e-16
5345,2.573809435392279e-18
5346,9.194614160760016e-18
5347,9.194614160760016e-18
5348,2.0749622924596805e-16
5349,1.13470823710647e-16
5350,4.944602740964741e-15
5351,1.057776571643611e-16
5352,2.6205300997422716e-16
5353,2.0530252362277364e-15
5354,2.8314311516257544e-16
5355,2.8314311516257544e-16
5356,5.703423837103191e-13
5357,1.1122221929399997e-14
5358,6.267751939289558e-14
5359,8.437362184466245e-14
5360,3.870835082815549e-13
5361,3.8708350828155357e-13
5362,2.9861390562574455e-12
5363,1.5437235682778028e-13
5364,1.8285779251825115e-13
5365,1.6922688262829693e-60
5366,4.805014223619315e-12
5367,4.293923295453568e-12
5368,5.695813687255508e-13
5369,2.0337392281351237e-12
5370,4.419038643376287e-12
5371,1.6773474511153907e-12
5372,2.3853154348079843e-12
5373,2.3853154348079843e-12
5374,2.3853154348079843e-12
5375,9.706310245934683e-13
5376,2.3853154348079843e-12
5377,9.706310245934614e-13
5378,1.0398148821338608e-12
5379,1.1077065236886265e-12
5380,6.500269114709877e-12
5381,3.500756962282899e-13
5382,1.4411656915215251e-13
5383,7.143878931769846e-12
5384,3.866374961547291e-13
5385,3.790425130975897e-12
5386,0.0
5387,7.651089319887593e-12
5388,0.0
5389,6.289696820929509e-12
5390,7.003205379469128e-13
5391,1.4976491782334584e-12
5392,2.8875516830356e-15
5393,1.3602747885836776e-12
5394,1.7288580657363824e-13
5395,1.7288580657363824e-13
5396,1.6471527737845388e-13
5397,1.8675241813102484e-13
5398,4.067068465409597e-12
5399,9.773482266005772e-14
5400,2.1818171620196707e-14
5401,1.0472387234449994e-13
5402,2.615594162341823e-13
5403,2.673819258643347e-13
5404,1.3911941915991035e-11
5405,8.227361299856365e-12
5406,1.9897580952674906e-11
5407,4.005275586379433e-12
5408,1.4229877986997384e-13
5409,1.4229877986997384e-13
5410,5.1922310585662713e-14
5411,5.1922310585662713e-14
5412,3.9190178555322154e-13
5413,4.375832426028054e-17
5414,8.071211804675723e-13
5415,8.08233639795061e-14
5416,8.013277426665461e-13
5417,5.473151562690308e-13
5418,9.617313785707606e-13
5419,2.3950816809578e-12
5420,2.7040507799789525e-11
5421,1.2306665369720037e-10
5422,8.791753731346072e-16
5423,3.5149206433314404e-13
5424,3.0701731692983226e-14
5425,2.0790113507295508e-15
5426,5.77073492488862e-14
5427,3.4942235589272755e-23
5428,1.7009473033772716e-21
5429,1.393758866767065e-22
5430,6.194927070941747e-23
5431,7.114150266209762e-21
5432,1.532748472463115e-22
5433,1.6381528395251726e-22
5434,3.6006211988375527e-22
5435,9.50922209601363e-23
5436,4.200012579386365e-21
5437,4.125818733185419e-48
5438,6.1969611762365356e-21
5439,1.4209287862843926e-22
5440,4.645886422121566e-22
5441,1.441074731879751e-22
5442,2.105764725522518e-22
5443,1.441074731879751e-22
5444,6.805417659600693e-23
5445,6.805417659600693e-23
5446,9.956494597138928e-21
5447,3.4958354738035724e-22
5448,2.680647911945623e-15
5449,3.460828668426809e-15
5450,3.460828668426795e-15
5451,3.460828668426795e-15
5452,4.547407540562183e-14
5453,3.460828668426795e-15
5454,2.930089251597229e-13
5455,9.834694921450058e-13
5456,3.460828668426795e-15
5457,1.212405689048465e-13
5458,6.4584848111344095e-15
5459,6.4584848111344095e-15
5460,6.4584848111344095e-15
5461,2.4288813695164103e-17
5462,7.44180003724515e-13
5463,6.4584848111344095e-15
5464,6.4584848111344095e-15
5465,2.4280338584013957e-15
5466,3.44365231411322e-14
5467,3.151181204969506e-13
5468,3.564972961541416e-12
5469,5.241088974699115e-15
5470,1.1373736044708766e-13
5471,3.214801594605304e-13
5472,5.0107724470469926e-15
5473,8.430030233734374e-15
5474,1.8810662309694835e-15
5475,5.764751414551305e-14
5476,2.4602618696453107e-15
5477,7.409020483182866e-15
5478,9.67493006706051e-16
5479,7.822427038775898e-14
5480,2.1366263841998843e-14
5481,2.2118216596010734e-14
5482,3.9440792703026095e-14
5483,1.2239223767772978e-15
5484,1.2239223767772978e-15
5485,1.4136092947424776e-15
5486,5.220080904233536e-16
5487,9.10195482585153e-16
5488,2.0135766250476532e-15
5489,2.3124558243557144e-14
5490,1.082243278138044e-14
5491,7.805604206493177e-15
5492,2.67041265314821e-16
5493,1.2497306865876991e-16
5494,6.234097973155197e-15
5495,7.892959251004379e-16
5496,6.234097973155241e-15
5497,9.070718438240995e-20
5498,8.742314259642516e-17
5499,8.742314259642516e-17
5500,9.142154035453332e-18
5501,1.5296427562712913e-16
5502,6.303713221990713e-18
5503,9.28758858286466e-18
5504,7.095824289255811e-17
5505,2.0011392362272775e-19
5506,1.0160482544335587e-18
5507,2.7414422495792555e-17
5508,7.770462023493173e-18
5509,2.211287473633711e-18
5510,2.5320531037224505e-18
5511,3.142023915069449e-17
5512,1.3519015228676366e-17
5513,2.076833792804305e-18
5514,5.809228766384999e-136
5515,2.4492213532656513e-77
5516,5.630355835883807e-17
5517,9.021947638397466e-17
5518,6.0142018681319e-17
5519,1.2993477079519911e-17
5520,3.031940236832056e-16
5521,1.0765620496008137e-14
5522,6.352561787434045e-15
5523,3.639473238394674e-16
5524,1.2231126298533653e-15
5525,6.997924921142773e-21
5526,1.9690705401907434e-22
5527,5.430902391530276e-16
5528,3.855345208435655e-17
5529,3.161739618858423e-18
5530,9.221718949916917e-17
5531,5.897668985469874e-18
5532,8.54550694704777e-18
5533,5.563360547425122e-16
5534,2.8575215267892818e-18
5535,2.8575215267892818e-18
5536,1.3616361192525339e-17
5537,7.00435222624343e-18
5538,6.338038135850229e-19
5539,1.2892995332418078e-23
5540,1.6123547483762335e-16
5541,1.3009927101937257e-17
5542,1.8242071358220338e-17
5543,1.8242071358220338e-17
5544,3.2957412290269357e-16
5545,2.0064176534460833e-16
5546,3.025708346174352e-18
5547,7.772443126063344e-17
5548,1.1754745417966722e-18
5549,4.151821805717999e-27
5550,4.116466262698167e-20
5551,4.8000813053983685e-21
5552,1.131764014606546e-37
5553,4.355664161184133e-34
5554,2.0623122183385658e-32
5555,6.036502765748002e-35
5556,3.142990046468208e-36
5557,2.171818667148429e-36
5558,1.3726396733103167e-36
5559,2.3319305042362155e-39
5560,1.080427979665249e-43
5561,1.468655615148291e-41
5562,7.657073888135168e-42
5563,1.0372272094467773e-42
5564,2.733002708744253e-41
5565,6.392351704004659e-41
5566,4.465623130207796e-39
5567,8.901831444988247e-39
5568,3.534115446710956e-42
5569,7.871219010677226e-40
5570,8.76562944728078e-48
5571,4.397352457020813e-47
5572,1.3443377843025848e-46
5573,3.5047259499414024e-45
5574,2.297176346368772e-47
5575,2.0205414256518596e-67
5576,3.876863764344598e-50
5577,1.978433587349319e-48
5578,6.1801834101576505e-49
5579,5.057325522035049e-49
5580,1.644410697502319e-50
5581,3.393850720502421e-48
5582,4.911576651563815e-47
5583,1.0863907040711072e-44
5584,2.5516339853572194e-274
5585,2.255738641279297e-44
5586,2.6811660762012705e-43
5587,8.47784138168123e-43
5588,3.6452419876526544e-41
5589,2.487376601151977e-41
5590,2.479351394810981e-40
5591,1.6479413308028226e-41
5592,1.6479413308028226e-41
5593,3.91696373776094e-40
5594,6.038503740260589e-40
5595,6.038503740260589e-40
5596,1.2576041157839947e-40
5597,2.0709036609497283e-40
5598,5.167013381956884e-39
5599,1.9485658288346037e-39
5600,9.07794820048313e-38
5601,2.587953519851919e-40
5602,3.051138791098071e-38
5603,2.587953519851994e-40
5604,7.144375966686845e-40
5605,2.202139176325215e-40
5606,2.0813341846483153e-35
5607,5.935457860557338e-38
5608,9.682871819977316e-36
5609,3.173665539333376e-35
5610,1.1695716250149625e-36
5611,5.1278468730106515e-36
5612,1.9474895915288253e-36
5613,5.598938960314042e-35
5614,1.4432869955745245e-34
5615,6.8749684074015096e-34
5616,2.5664340658643435e-34
5617,9.114610211355014e-35
5618,9.392109560778626e-32
5619,3.379228864912673e-31
5620,1.0293651852064611e-31
5621,5.116545645267898e-29
5622,7.718803944546229e-32
5623,9.654067389218429e-32
5624,3.758545795711961e-31
5625,8.96424428179747e-35
5626,7.770179206003705e-35
5627,2.7015905206176196e-33
5628,3.605395211086266e-32
5629,1.0868466266009352e-31
5630,4.1798474081767044e-35
5631,7.525654262287194e-35
5632,1.7520513156852957e-32
5633,2.210128303007606e-33
5634,5.29994185936471e-33
5635,5.19476551391177e-31
5636,7.717897296415734e-33
5637,5.989952441804282e-32
5638,1.2860468296613195e-45
5639,7.1449212979924605e-31
5640,5.318038600378754e-28
5641,2.6926769796597334e-28
5642,4.7443524810622945e-30
5643,6.213248930013209e-28
5644,5.318038600378754e-28
5645,5.421274924697044e-29
5646,1.7218762747586123e-28
5647,8.170765662887749e-32
5648,0.0
5649,3.843398821175567e-32
5650,4.6333055512071135e-33
5651,3.865530893804459e-35
5652,3.9205155949351796e-33
5653,2.6907404099282156e-32
5654,7.859851410887498e-34
5655,7.320984612123022e-35
5656,7.320984612122813e-35
5657,1.4157923619593918e-31
5658,1.9344073574962013e-33
5659,4.222484468119024e-34
5660,1.0760070124246309e-35
5661,4.416522266675759e-36
5662,4.267508566917998e-36
5663,3.175017737828729e-34
5664,4.0337730049872584e-38
5665,1.7083164052696928e-38
5666,2.8446721316095777e-38
5667,2.7570203956770507e-40
5668,3.7491360703660846e-36
5669,5.394373114298606e-39
5670,9.338706596485809e-39
5671,2.4283323091162442e-37
5672,3.382343890911909e-56
5673,3.5628726381527464e-35
5674,6.504808103712069e-41
5675,2.789297790602051e-39
5676,4.0857787921864717e-39
5677,1.3650511986701551e-39
5678,7.623653317750312e-37
5679,6.213664760672059e-38
5680,1.470587646743776e-38
5681,1.3750560265419936e-37
5682,4.589620267447996e-38
5683,1.9033523272359153e-37
5684,3.8929846614011016e-38
5685,8.696147699127979e-38
5686,2.013457760432047e-38
5687,2.013457760432105e-38
5688,1.560902634031517e-39
